ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
VJC,2020,1,22232501052662,2459284982899,300000000000,18359305350281,686629885804,427280833678,24672632357080,0,1281682857391,215973206218,7163327271607,46905133409742,33151421900886,17257461197205,15893960703681,13753711508856,13753711508856,10531268574006,2357010595,46905133409742,154476621269,508727856000,686629885804,0,5416113340000,5416113340000,3719538455348,785912586554,6673511583785,7163327271607,209417024400,14656334734962,14656334734962,VCI,yearly
VJC,2019,4,26626471445906,6076130859648,435000000000,18985742138634,683568930196,446029517428,20981887293169,0,1294921085383,215973206218,5212893496563,47608358739075,32293501323640,18906185640906,13387315682734,15314857415435,15314857415435,11932873271648,2411184871,47608358739075,148867979888,499482168000,683568930196,0,5416113340000,5416113340000,3663768092217,669963368463,8159193678187,5212893496563,149417024400,12238007707180,12939507707180,VCI,yearly
VJC,2019,3,20844564739132,3168319367301,546400000000,16067006684052,589575595705,473263092074,22301728341075,0,1559370752923,215973206218,5832735772462,43146293080207,28298948645041,16991209854438,11307738790603,14847344435166,14847344435166,11395435876006,835671796,43146293080207,81186856050,500342232000,589575595705,0,5416113340000,5416113340000,1140752114338,904306976503,8112310947802,5832735772462,149417024400,12208433171407,12909933171407,VCI,yearly
VJC,2019,2,21574622210868,4915033484217,785400000000,14841449608722,632756880052,399982237877,21430262235702,0,1872374862994,68424629818,5874693700462,43004884446570,27475889581351,17342438156550,10133451424801,15528994865219,15528994865219,9695733600849,1164176795,43004884446570,239884531402,652062360000,632756880052,0,5416113340000,5416113340000,545219641100,615212321541,7308038889993,5874693700462,7868448000,11421191285431,12122691285431,VCI,yearly
VJC,2019,1,19002091982471,5098305305035,876400000000,12230652002429,433738248016,362996426991,22385118532293,0,1608662305646,68424629818,5953366117413,41387210514764,25880090292307,15771480437652,10108609854655,15507120222457,15507120222457,9718640446660,1501920620,41387210514764,731933010234,499804692000,433738248016,0,5416113340000,5416113340000,562335108232,712020208939,6470255691329,5953366117413,7868448000,12801518744273,13503018744273,VCI,yearly
VJC,2018,4,19789154293867,7164923007451,816900000000,11009134433391,421916497061,376280355964,19433265566768,0,2700126719510,68424629818,6110677169091,39222419860635,25297805983948,15916143545552,9381662438396,13924613876687,13924613876687,8137187989784,1827251260,39222419860635,583466179446,499804692000,421916497061,0,5416113340000,5416113340000,572231674577,688665229378,5852141907953,6110677169091,7868448000,8588937473031,9290437473031,VCI,yearly
VJC,2018,3,19351950848811,4890383659238,849250000000,12950021986398,317942722110,344352481065,15604877678883,0,1735415907199,68424629818,5235267749131,34956828527694,22506247552961,14480275845085,8025971707876,12450580974733,12450580974733,6601741459781,1357894465,34956828527694,551959855428,502492392000,317942722110,0,5416113340000,5416113340000,607843764620,728563034599,7028814679668,5235267749131,7868448000,7179840666188,7881340666188,VCI,yearly
VJC,2018,2,18603578164013,4939421469372,1327400000000,11647288068785,328466753333,361001872523,15631985845672,0,1774998175152,68424629818,5072768247305,34235564009685,22481073199694,14236353939863,8244719259831,11754490809991,11754490809991,6905160686141,1858045004,34235564009685,494399485930,494321784000,328466753333,0,4513432840000,4513432840000,601700564321,581422531534,6959882007867,5072768247305,7868448000,7360964594522,8062464594522,VCI,yearly
VJC,2018,1,18807939073686,5704781997646,991400000000,11448377365218,331369976976,332009733846,13582114340036,0,1498691181658,68424629818,5258007292078,32390053413722,20869142968439,13036042781692,7833100186747,11520910445283,11520910445283,6723510622006,1680502425,32390053413722,590412376835,489161400000,331369976976,0,4513432840000,4513432840000,630017754365,605755085350,5869313724591,5258007292078,7868448000,5839674589301,6541174589301,VCI,yearly
VJC,2017,4,19521790193298,6855523831737,1400000000,12142315272642,242746759930,279804328989,12386653372400,0,1518160965292,68424629818,4848631090100,31908443565698,21870957524629,15140057597530,6730899927099,10037486041069,10037486041069,5253147410673,866294424,31908443565698,241379226183,0,242746759930,0,4513432840000,4513432840000,625176226640,453424122501,6904763221035,4848631090100,7868448000,5024127067300,5725627067300,VCI,yearly
VJC,2017,3,11050903065441,1864281469949,1400000000,8785116586360,162053544647,238051464485,15162720580868,0,1279987738863,68424629818,3523467371533,26213623646309,17920310301704,12638721099735,5281589201969,8293313344605,8293313344605,3498505234655,1050918426,26213623646309,122444429368,0,162053544647,0,4513432840000,4513432840000,660905094923,536010819087,6796106921457,3523467371533,7868448000,9328686254638,10030186254638,VCI,yearly
VJC,2017,2,11016240398108,2650490138266,1400000000,7936108483392,180503841594,247737934856,13730780390699,0,1292517836818,68424629818,3847770673751,24747020788807,17425670171694,11918930576273,5506739595421,7321350617113,7321350617113,2531866325781,1884403994,24747020788807,113218053469,0,180503841594,0,3223880600000,3223880600000,660435837480,401827026727,5499599830554,3847770673751,7868448000,7633470828102,8334970828102,VCI,yearly
VJC,2017,1,12430063290932,2793605166127,1400000000,9275994338655,151468411944,207595374206,10928396771246,0,1034395394888,68424629818,3143464170842,23358460062178,16483687322156,11917668308999,4566019013157,6874772740022,6874772740022,2079318817312,1479889344,23358460062178,200736526198,0,151468411944,0,3223880600000,3223880600000,694840299644,337263719806,6828723717130,3143464170842,7868448000,5772095110924,6473595110924,VCI,yearly
VJC,2016,4,10313466695796,2741341465691,1400000000,7128756627068,137930296755,304038306282,9749234828931,0,1047218102390,68424629818,3347515452927,20062701524727,15328679347088,10570076600330,4758602746758,4734022177639,4734022177639,1702862911199,1485942037,20062701524727,91313966035,0,137930296755,0,3000000000000,3000000000000,694840299644,306908790544,6102386845285,3347515452927,7868448000,4403274400197,5104774400197,VCI,yearly
