ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Dividends paid,data_source,period_type
TPB,2021,4,20722000000.0,1701006000000.0,16849463000000.0,-303466000000.0,0.0,-303300000000.0,0.0,-1319500000000.0,15226663000000.0,41320827000000.0,-86282000000.0,56461208000000.0,16849463000000.0,166000000.0,0.0,0.0,VCI,quarterly
TPB,2021,3,78413000000.0,2638434000000.0,5573064000000.0,-45310000000.0,0.0,-45310000000.0,3283500000000.0,3177100000000.0,8704854000000.0,32529691000000.0,86282000000.0,41320827000000.0,5573064000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2021,2,-14104000000.0,2085199000000.0,10662199000000.0,-196339000000.0,0.0,-196339000000.0,0.0,1100893000000.0,11566753000000.0,21030337000000.0,-67399000000.0,32529691000000.0,10662199000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2021,1,-87376000000.0,1512491000000.0,1144531000000.0,-84100000000.0,0.0,-84100000000.0,0.0,-106300000000.0,954131000000.0,20008807000000.0,67399000000.0,21030337000000.0,1144531000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2020,4,288672000000.0,1923478000000.0,-8884522000000.0,-123654000000.0,0.0,-123654000000.0,390694000000.0,3164994000000.0,-5843182000000.0,26773225000000.0,-175040000000.0,20755003000000.0,-8884522000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2020,3,-83929000000.0,1388097000000.0,-2612304000000.0,-108674000000.0,0.0,-108674000000.0,0.0,300300000000.0,-2420678000000.0,29018863000000.0,175040000000.0,26773225000000.0,-2612304000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2020,2,57547000000.0,1671673000000.0,3372318000000.0,-105333000000.0,0.0,-65732000000.0,0.0,360300000000.0,3666886000000.0,25557011000000.0,-205034000000.0,29018863000000.0,3372318000000.0,1000000.0,39600000000.0,0.0,VCI,quarterly
TPB,2020,1,293484000000.0,843298000000.0,-4360137000000.0,-73027000000.0,0.0,-112627000000.0,0.0,625940000000.0,-3846824000000.0,29198801000000.0,205034000000.0,25557011000000.0,-4360137000000.0,0.0,-39600000000.0,0.0,VCI,quarterly
TPB,2019,4,857707000000.0,2067181000000.0,44251000000.0,-146746000000.0,0.0,-146481000000.0,0.0,267000000000.0,164770000000.0,29034031000000.0,0.0,29198801000000.0,44251000000.0,265000000.0,0.0,0.0,VCI,quarterly
TPB,2019,3,-4797000000.0,1447454000000.0,4732711000000.0,-117735000000.0,0.0,-117735000000.0,0.0,0.0,4614976000000.0,24419055000000.0,0.0,29034031000000.0,4732711000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2019,2,12804000000.0,910615000000.0,478949000000.0,-74557000000.0,0.0,-74557000000.0,0.0,-635171000000.0,-230779000000.0,24688410000000.0,-38576000000.0,24419055000000.0,478949000000.0,0.0,0.0,-7415000000.0,VCI,quarterly
TPB,2019,1,169000000.0,916249000000.0,3499837000000.0,-55556000000.0,0.0,-55556000000.0,0.0,0.0,3444281000000.0,21205553000000.0,38576000000.0,24688410000000.0,3499837000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2018,4,-1097000000.0,803302000000.0,1462405000000.0,-148778000000.0,0.0,-149606000000.0,-1000000.0,-13001000000.0,1299798000000.0,19980292000000.0,-74537000000.0,21205553000000.0,1462405000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2018,3,-6666000000.0,611191000000.0,-2089970000000.0,-13917000000.0,0.0,-13733000000.0,0.0,1000000.0,-2103702000000.0,22009457000000.0,74537000000.0,19980292000000.0,-2089970000000.0,184000000.0,0.0,1000000.0,VCI,quarterly
TPB,2018,2,95161000000.0,909998000000.0,3827910000000.0,-58043000000.0,0.0,-58040000000.0,2190390000000.0,2139730000000.0,5909600000000.0,16268914000000.0,-67687000000.0,22110827000000.0,3827910000000.0,3000000.0,0.0,-50660000000.0,VCI,quarterly
TPB,2018,1,21728000000.0,465294000000.0,-8218970000000.0,-10800000000.0,0.0,-10690000000.0,0.0,0.0,-8229660000000.0,24329517000000.0,67687000000.0,16167544000000.0,-8218970000000.0,110000000.0,0.0,0.0,VCI,quarterly
TPB,2017,4,22312000000.0,690072000000.0,1846110000000.0,-78456000000.0,0.0,-78026000000.0,0.0,0.0,1768084000000.0,22571534000000.0,-10101000000.0,24329517000000.0,1846110000000.0,446000000.0,0.0,0.0,VCI,quarterly
TPB,2017,3,8908000000.0,528011000000.0,-4292143000000.0,-7035000000.0,0.0,-7019000000.0,0.0,31647000000.0,-4267515000000.0,26828949000000.0,10100000000.0,22571534000000.0,-4292143000000.0,16000000.0,0.0,0.0,VCI,quarterly
TPB,2017,2,7271000000.0,436112000000.0,-387175000000.0,-37357000000.0,0.0,-37357000000.0,0.0,0.0,-424532000000.0,27182943000000.0,70538000000.0,26828949000000.0,-387175000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2017,1,-2479000000.0,212318000000.0,5004454000000.0,-43100000000.0,0.0,-43100000000.0,0.0,0.0,4961354000000.0,22292126000000.0,-70537000000.0,27182943000000.0,5004454000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
TPB,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
